age,language,media,kvi,kfi,party
10 - 20 Jahre,Deutsch,"SRF, NZZ",Ja,Ja,SP
10 - 20 Jahre,Deutsch,SRF,Weiss noch nicht,Weiss noch nicht,FDP
10 - 20 Jahre,Deutsch,SRF,Ja,Nein,FDP
10 - 20 Jahre,Deutsch,20min,Nein,Weiss noch nicht,CVP
10 - 20 Jahre,Deutsch,"SRF, NZZ",Ja,Ja,SP
10 - 20 Jahre,Deutsch,20min,Ja,Ja,EVP
10 - 20 Jahre,Deutsch,"20min, Blick, SRF, NZZ",Weiss noch nicht,Weiss noch nicht,GLP
10 - 20 Jahre,Deutsch,"20min, Blick, NZZ",Nein,Ja,CVP
10 - 20 Jahre,Deutsch,"SRF, NZZ",Ja,Ja,GLP
40 - 50 Jahre,Deutsch,"20min, SRF, Landbote",Ja,Ja,SP
20 - 30 Jahre,Deutsch,"20min, Blick, Watson, SRF, NZZ",Nein,Ja,FDP
10 - 20 Jahre,Deutsch,"20min, Blick, Watson, SRF, Tagesanzeiger",Weiss noch nicht,Weiss noch nicht,EVP
50 - 60 Jahre,Deutsch,Weltwoche,Nein,Nein,SVP
10 - 20 Jahre,Deutsch,"SRF, Tagesanzeiger",Ja,Nein,SP
10 - 20 Jahre,Deutsch,"20min, Blick, SRF, Weltwoche, NZZ, Tagesanzeiger, WazonNews",Weiss noch nicht,Nein,CVP
10 - 20 Jahre,Deutsch,"20min, Blick, Watson, SRF",Weiss noch nicht,Weiss noch nicht,SP
10 - 20 Jahre,Deutsch,20min,Weiss noch nicht,Ja,CVP
10 - 20 Jahre,Deutsch,"20min, SRF, NZZ",Nein,Nein,FDP
10 - 20 Jahre,Deutsch,"20min, SRF, NZZ, Tagesanzeiger",Weiss noch nicht,Ja,GLP
10 - 20 Jahre,Deutsch,Blick,Weiss noch nicht,Ja,Grüne
10 - 20 Jahre,Deutsch,"20min, Blick, SRF",Nein,Weiss noch nicht,FDP
10 - 20 Jahre,Deutsch,"SRF, NZZ",Ja,Ja,SP
10 - 20 Jahre,Deutsch,"20min, SRF",Weiss noch nicht,Weiss noch nicht,SVP
10 - 20 Jahre,Deutsch,"20min, Blick, SRF",Ja,Weiss noch nicht,CVP
10 - 20 Jahre,Deutsch,"20min, Blick, Watson, SRF, Tagesanzeiger, 24 heures",Ja,Ja,FDP
10 - 20 Jahre,Deutsch,"20min, SRF",Weiss noch nicht,Nein,SVP
10 - 20 Jahre,Deutsch,"20min, Blick",Weiss noch nicht,Ja,SVP
10 - 20 Jahre,Deutsch,"20min, SRF, Tagesanzeiger",Ja,Weiss noch nicht,SP
10 - 20 Jahre,Deutsch,"20min, Blick",Weiss noch nicht,Weiss noch nicht,CVP
10 - 20 Jahre,Deutsch,nada,Ja,Ja,Grüne
10 - 20 Jahre,Deutsch,keine,Weiss noch nicht,Ja,Grüne
10 - 20 Jahre,Deutsch,"SRF, NZZ",Ja,Ja,SP
10 - 20 Jahre,Deutsch,SRF,Nein,Nein,GLP
20 - 30 Jahre,Deutsch,"20min, Watson, SRF, NZZ",Ja,Weiss noch nicht,Grüne
10 - 20 Jahre,Deutsch,"20min, Blick, SRF, NZZ, Tagesanzeiger",Weiss noch nicht,Nein,FDP
10 - 20 Jahre,Deutsch,"20min, Blick, SRF",Nein,Nein,SVP
40 - 50 Jahre,Deutsch,"20min, Watson, SRF",Weiss noch nicht,Weiss noch nicht,FDP
10 - 20 Jahre,Deutsch,"20min, SRF",Nein,Nein,SVP
40 - 50 Jahre,Deutsch,SRF,Weiss noch nicht,Weiss noch nicht,SP
10 - 20 Jahre,Deutsch,"20min, SRF",Nein,Nein,SP
10 - 20 Jahre,Deutsch,"20min, SRF",Ja,Nein,SP
10 - 20 Jahre,Deutsch,"20min, Blick, Watson, SRF, nau.ch",Weiss noch nicht,Weiss noch nicht,SVP
10 - 20 Jahre,Deutsch,"SRF, Tagesanzeiger",Weiss noch nicht,Weiss noch nicht,SP
20 - 30 Jahre,Deutsch,"20min, Blick, SRF",Ja,Ja,Grüne
10 - 20 Jahre,Deutsch,20min,Ja,Weiss noch nicht,FDP
10 - 20 Jahre,Deutsch,"20min, Blick, Watson, SRF",Ja,Weiss noch nicht,GLP
10 - 20 Jahre,Deutsch,NZZ,Weiss noch nicht,Weiss noch nicht,Grüne
10 - 20 Jahre,Deutsch,"20min, Blick, SRF",Weiss noch nicht,Weiss noch nicht,FDP
10 - 20 Jahre,Deutsch,"20min, SRF",Weiss noch nicht,Weiss noch nicht,SP
10 - 20 Jahre,Deutsch,"20min, SRF",Ja,Ja,FDP
10 - 20 Jahre,Deutsch,SRF,Weiss noch nicht,Weiss noch nicht,SVP
20 - 30 Jahre,Deutsch,"20min, SRF, NZZ",Ja,Ja,CVP
10 - 20 Jahre,Deutsch,SRF,Nein,Nein,CVP
40 - 50 Jahre,Deutsch,"SRF, FAZ, Die Zeit",Ja,Ja,SP
10 - 20 Jahre,Deutsch,"20min, Blick, Watson, WOZ, NZZ, 24 heures, Corriere del Ticino, il Matino",Ja,Ja,BDP
10 - 20 Jahre,Deutsch,"20min, SRF",Weiss noch nicht,Weiss noch nicht,EVP
10 - 20 Jahre,Deutsch,SRF,Ja,Ja,FDP
10 - 20 Jahre,Deutsch,nūt amk alles lw vallah insta langed,Nein,Nein,SVP
10 - 20 Jahre,Deutsch,20min,Weiss noch nicht,Weiss noch nicht,SVP
40 - 50 Jahre,Deutsch,"20min, Blick, SRF, Thurgauer Zeitung, ",Weiss noch nicht,Nein,CVP
10 - 20 Jahre,Deutsch,"20min, Blick, SRF, NZZ",Ja,Weiss noch nicht,SVP
50 - 60 Jahre,Deutsch,"20min, Watson, SRF",Nein,Nein,FDP
